state,constituency,candidate,party,status,votes,pct_electors,pct_valid
Rajasthan,JODHPUR (GEN),MANJU MEGHWAL,BSP,N,6395,0.3,0.47
Rajasthan,JODHPUR (GEN),SHAHNAZ BANO,DKD,U,547,0.03,0.04
Rajasthan,UDAIPUR (ST),DR. SAVITA KUMARI AHARI,IND,Z,8162,0.37,0.55
"Tamil Nadu
1 TIRUVALLUR (SC)",Malathi 2 CHENNAI NORTH (GEN),AMUDINI,NTK,U,95954,6.41,10.79
"Tamil Nadu
1 TIRUVALLUR (SC)",Malathi 2 CHENNAI NORTH (GEN),P. UMADEVI,IND,Z,346,0.02,0.04
"Tamil Nadu
1 TIRUVALLUR (SC)",Malathi 2 CHENNAI NORTH (GEN),SARAH FATHIMA,IND,Z,5923,0.4,0.67
"Tamil Nadu
1 TIRUVALLUR (SC)",CHENNAI SOUTH (GEN),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,DMK,S,516628,25.53,47.67
"Tamil Nadu
1 TIRUVALLUR (SC)",CHENNAI SOUTH (GEN),DR.TAMILISAI SOUNDARARAJAN,BJP,N,290683,14.37,26.82
"Tamil Nadu
1 TIRUVALLUR (SC)",CHENNAI SOUTH (GEN),R.KANCHANA,MMKA,U,566,0.03,0.05
"Tamil Nadu
1 TIRUVALLUR (SC)",CHENNAI SOUTH (GEN),SASI REKHA,NADLMMKLK,U,559,0.03,0.05
"Tamil Nadu
1 TIRUVALLUR (SC)",CHENNAI SOUTH (GEN),S.TAMILCHELVI,NTK,U,83972,4.15,7.75
"Tamil Nadu
1 TIRUVALLUR (SC)",DHARMAPURI (GEN),ABINAYA,NTK,U,65381,4.28,5.28
"Tamil Nadu
1 TIRUVALLUR (SC)",DHARMAPURI (GEN),ELAYARANI. P.,GPI,U,2315,0.15,0.19
"Tamil Nadu
1 TIRUVALLUR (SC)",DHARMAPURI (GEN),SOWMIYA ANBUMANI,PMK,U,411367,26.94,33.21
"Tamil Nadu
1 TIRUVALLUR (SC)",DHARMAPURI (GEN),SOWMIYA,IND,Z,3028,0.2,0.24
"Tamil Nadu
1 TIRUVALLUR (SC)",TIRUVANNAMALAI (GEN),DEEPAMMAL SUNDARI,IND,Z,259,0.02,0.02
"Tamil Nadu
1 TIRUVALLUR (SC)",TIRUVANNAMALAI (GEN),"POONGODY, A.",IND,Z,417,0.03,0.04
"Tamil Nadu
1 TIRUVALLUR (SC)",ARANI (GEN),"BAKIYALAKSHMI, K.",NTK,U,66740,4.45,5.9
"Tamil Nadu
1 TIRUVALLUR (SC)",CHIDAMBARAM (SC),KARTHIYAYINI P,BJP,N,168493,11.08,14.55
"Tamil Nadu
1 TIRUVALLUR (SC)",CHIDAMBARAM (SC),JANCIRANI R,NTK,U,65589,4.31,5.66
"Tamil Nadu
1 TIRUVALLUR (SC)",CHIDAMBARAM (SC),RATHA G,IND,Z,1280,0.08,0.11
"Tamil Nadu
1 TIRUVALLUR (SC)",SIVAGANGA (GEN),EZHILARASI,NTK,U,163412,9.99,15.63
"Tamil Nadu
1 TIRUVALLUR (SC)",SIVAGANGA (GEN),DHANALAKSHMI M,IND,Z,8512,0.52,0.81
"Tamil Nadu
1 TIRUVALLUR (SC)",,PREMA S,IND,Z,1232,0.08,0.11
"Tamil Nadu
1 TIRUVALLUR (SC)",,REVATHI K,IND,Z,1128,0.07,0.1
"Tamil Nadu
1 TIRUVALLUR (SC)",VIRUDHUNAGAR (GEN),RADIKAA R,BJP,N,166271,11.04,15.8
"Tamil Nadu
1 TIRUVALLUR (SC)",VIRUDHUNAGAR (GEN),SELVI K,IND,Z,2188,0.15,0.21
"Tamil Nadu
1 TIRUVALLUR (SC)",VIRUDHUNAGAR (GEN),PANDIYAMMAL R,IND,Z,2133,0.14,0.2
"Tamil Nadu
1 TIRUVALLUR (SC)",VIRUDHUNAGAR (GEN),MARIEESWARI M,IND,Z,1110,0.07,0.11
"Tamil Nadu
1 TIRUVALLUR (SC)",THOOTHUKKUDI (GEN),KANIMOZHI KARUNANIDHI,DMK,S,540729,37.01,55.82
"Tamil Nadu
1 TIRUVALLUR (SC)",THOOTHUKKUDI (GEN),ROWENA RUTH JANE J,NTK,U,120300,8.23,12.42
"Tamil Nadu
1 TIRUVALLUR (SC)",,M UMAMAHESWARI,DMSK,U,1655,0.11,0.16
